date,amount_raw,amount,currency,operation,merchant,details,bank,source_file
2024-11-24,"- 401,67 KZT",-401.67,KZT,Purchases,Jana Post,Jana Post,Kaspi Bank,kaspi_ru_2.pdf
2024-11-24,"+ 2 500,00 KZT",2500.0,KZT,Replenishment,,Темірлан Қ.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-25,"- 930,00 KZT",-930.0,KZT,Purchases,Sandwich Spot,Sandwich Spot,Kaspi Bank,kaspi_ru_2.pdf
2024-11-25,"- 150,00 KZT",-150.0,KZT,Purchases,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,kaspi_ru_2.pdf
2024-11-25,"- 322,00 KZT",-322.0,KZT,Purchases,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 2 100,00 KZT",-2100.0,KZT,Purchases,YANDEX.GO,YANDEX.GO,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 500,00 KZT",500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 1 500,00 KZT",1500.0,KZT,Replenishment,,Абылайхан С.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 3 000,00 KZT",-3000.0,KZT,Transfers,,Елнұр Қ.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 1 500,00 KZT",1500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 1 045,00 KZT",-1045.0,KZT,Transfers,,Темірлан Қ.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 2 600,00 KZT",2600.0,KZT,Replenishment,,Айым Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 1 642,00 KZT",-1642.0,KZT,Purchases,OZON.KZ,OZON.KZ,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 1 642,00 KZT",1642.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 980,00 KZT",-980.0,KZT,Purchases,Central Astana,Central Astana,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 1 000,00 KZT",1000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 50 000,00 KZT",-50000.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 50 000,00 KZT",50000.0,KZT,Replenishment,,Анар К.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 3 930,00 KZT",-3930.0,KZT,Purchases,YANDEX.GO,YANDEX.GO,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 400,00 KZT",400.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 400,00 KZT",400.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 3 210,00 KZT",3210.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 200,00 KZT",-200.0,KZT,Purchases,NU,NU,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 200,00 KZT",200.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 1 430,00 KZT",-1430.0,KZT,Purchases,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 1 500,00 KZT",1500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 6 762,00 KZT",-6762.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"- 5 000,00 KZT",-5000.0,KZT,Transfers,,Айым Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-26,"+ 11 000,00 KZT",11000.0,KZT,Replenishment,,С карты другого банка,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"- 345,00 KZT",-345.0,KZT,Purchases,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"+ 200,00 KZT",200.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"- 792,00 KZT",-792.0,KZT,Purchases,ТӨР,ТӨР,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"+ 600,00 KZT",600.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"- 1 140,00 KZT",-1140.0,KZT,Purchases,ТӨР,ТӨР,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"+ 1 000,00 KZT",1000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"- 1 145,00 KZT",-1145.0,KZT,Purchases,Corner Meal,Corner Meal,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"+ 1 000,00 KZT",1000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"+ 500,00 KZT",500.0,KZT,Replenishment,,Аяулым М.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"- 1 500,00 KZT",-1500.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"+ 1 500,00 KZT",1500.0,KZT,Replenishment,,Рауан А.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"- 1 930,00 KZT",-1930.0,KZT,Purchases,YANDEX.GO,YANDEX.GO,Kaspi Bank,kaspi_ru_2.pdf
2024-11-27,"+ 2 000,00 KZT",2000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-28,"- 2 350,00 KZT",-2350.0,KZT,Transfers,,Темірлан Қ.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-28,"+ 2 400,00 KZT",2400.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-28,"- 501,11 KZT",-501.11,KZT,Purchases,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,kaspi_ru_2.pdf
2024-11-28,"+ 500,00 KZT",500.0,KZT,Replenishment,,Айым Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-28,"- 3 050,00 KZT",-3050.0,KZT,Purchases,HP Canteen,HP Canteen,Kaspi Bank,kaspi_ru_2.pdf
2024-11-28,"+ 3 000,00 KZT",3000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-28,"- 150,00 KZT",-150.0,KZT,Purchases,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,kaspi_ru_2.pdf
2024-11-28,"- 240,00 KZT",-240.0,KZT,Purchases,USM Astana,USM Astana,Kaspi Bank,kaspi_ru_2.pdf
2024-11-28,"+ 500,00 KZT",500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 1 355,00 KZT",-1355.0,KZT,Purchases,SEVEN,SEVEN,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"+ 1 500,00 KZT",1500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 15,00 KZT",-15.0,KZT,Purchases,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 1 081,00 KZT",-1081.0,KZT,Transfers,,Мансур Д.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"+ 1 000,00 KZT",1000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-29,"- 780,00 KZT",-780.0,KZT,Purchases,Corner Meal,Corner Meal,Kaspi Bank,kaspi_ru_2.pdf
